case_id,case_group,pair_id,query,families,expected_state,expected_rto_contains,expected_from,expected_to,expected_fuel_segment,expected_fuel_type,expected_fuel_filters,expected_selected_fuel_types,expected_vehicle_categories,expected_selected_vehicle_categories,expected_selected_vehicle_groups,expected_vehicle_classes,expected_selected_vehicle_classes,expected_norms,expected_selected_norms,expected_excluded_fuel_types,expected_excluded_vehicle_groups,expected_excluded_vehicle_classes,expected_excluded_vehicle_categories,expected_excluded_norms,notes
Q022,coverage,P07,Show BS VI diesel motor car registrations in Delhi during November 2025.,geography|date|fuel|class|norm,Delhi,,2025-11,2025-11,NON_EV,DIESEL,,DIESEL,,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q023,coverage,,Show BS VI EV two wheeler registrations in Karnataka during December 2025.,geography|date|fuel|category|norm,Karnataka,,2025-12,2025-12,EV,,,ELECTRIC(BOV)|PURE EV,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q024,coverage,,Show petrol bus registrations in Tamil Nadu during January 2025.,geography|date|fuel|class,Tamil Nadu,,2025-01,2025-01,NON_EV,PETROL,,PETROL,,,,BUS,BUS,,,,,,,,
Q025,coverage,P08,Show motor car registrations at MH-12 RTO during January 2025.,geography|rto|date|class,Maharashtra,MH-12,2025-01,2025-01,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q026,coverage,,Show diesel registrations at DL-01 RTO during February 2025.,geography|rto|date|fuel,Delhi,DL-01,2025-02,2025-02,NON_EV,DIESEL,,DIESEL,,,,,,,,,,,,,
Q027,coverage,,Show EV registrations at KA-01 RTO during March 2025.,geography|rto|date|fuel,Karnataka,KA-01,2025-03,2025-03,EV,,,ELECTRIC(BOV)|PURE EV,,,,,,,,,,,,,
Q028,coverage,,Show two wheeler registrations at TN-01 RTO during April 2025.,geography|rto|date|category,Tamil Nadu,TN-01,2025-04,2025-04,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,,,,
Q029,coverage,,Show BS VI registrations at UP-16 RTO during May 2025.,geography|rto|date|norm,Uttar Pradesh,UP-16,2025-05,2025-05,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q030,coverage,P10,Show BS IV CNG three wheeler registrations in Gujarat during June 2025.,geography|date|fuel|category|norm,Gujarat,,2025-06,2025-06,NON_EV,CNG,,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,BHARAT STAGE IV,BHARAT STAGE IV,,,,,,
Q031,spelling_shorthand,P09,Show EV 4w BS6 registrations in Maharastra during January 2025.,spelling|geography|date|fuel|category|norm,Maharashtra,,2025-01,2025-01,EV,,,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q032,spelling_shorthand,,Show diesel 2w registrations in Gujrat during February 2025.,spelling|geography|date|fuel|category,Gujarat,,2025-02,2025-02,NON_EV,DIESEL,,DIESEL,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,,,,
Q033,spelling_shorthand,,Show CNG 3w registrations in UP during March 2025.,shorthand|geography|date|fuel|category,Uttar Pradesh,,2025-03,2025-03,NON_EV,CNG,,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,,,,,,,,
Q034,spelling_shorthand,,Show petrol LMV registrations in Karnatak during April 2025.,spelling|geography|date|fuel|category,Karnataka,,2025-04,2025-04,NON_EV,PETROL,,PETROL,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,,,,
Q035,spelling_shorthand,,Show diesel HMV registrations in Rajsthan during May 2025.,spelling|geography|date|fuel|category,Rajasthan,,2025-05,2025-05,NON_EV,DIESEL,,DIESEL,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,,,,
Q036,spelling_shorthand,P11,Show BOV motor car registrations in Delhi during June 2025.,shorthand|geography|date|fuel|class,Delhi,,2025-06,2025-06,EV,,,ELECTRIC(BOV)|PURE EV,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q037,spelling_shorthand,,Show E20 petrol motor car registrations in Maharashtra during July 2025.,shorthand|geography|date|fuel|class,Maharashtra,,2025-07,2025-07,NON_EV,PETROL(E20),,PETROL(E20),,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q038,spelling_shorthand,,Show PHEV motor car registrations in Karnataka during August 2025.,shorthand|geography|date|fuel|class,Karnataka,,2025-08,2025-08,,PLUG-IN HYBRID EV,,PLUG-IN HYBRID EV,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q039,spelling_shorthand,,Show 2w NT registrations in Delhi during September 2025.,shorthand|geography|date|category,Delhi,,2025-09,2025-09,,,,,TWO WHEELER(NT),TWO WHEELER(NT),,,,,,,,,,,
Q040,spelling_shorthand,,Show BS6 erickshaw passenger registrations in Delhi during October 2025.,shorthand|spelling|geography|date|class|norm,Delhi,,2025-10,2025-10,,,,,,,,E-RICKSHAW(P),E-RICKSHAW(P),BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q041,paraphrase,P01,"For Maharashtra, give the registration total for vehicles in Jan 2025.",paraphrase|geography|date,Maharashtra,,2025-01,2025-01,,,,,,,,,,,,,,,,,
Q042,paraphrase,P02,How many diesel vehicles were registered in Karnataka in Apr 2024?,paraphrase|geography|date|fuel,Karnataka,,2024-04,2024-04,NON_EV,DIESEL,,DIESEL,,,,,,,,,,,,,
Q043,paraphrase,P03,Give Uttar Pradesh electric vehicle registrations for Jun 2024.,paraphrase|geography|date|fuel,Uttar Pradesh,,2024-06,2024-06,EV,,,ELECTRIC(BOV)|PURE EV,,,,,,,,,,,,,
Q044,paraphrase,P04,"In Bihar, what was the two-wheeler registration total for Oct 2024?",paraphrase|geography|date|category,Bihar,,2024-10,2024-10,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,,,,
Q045,paraphrase,P05,Return Assam motor-car registrations for Mar 2025.,paraphrase|geography|date|class,Assam,,2025-03,2025-03,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q046,paraphrase,P06,Give Chandigarh Bharat Stage 6 vehicle registrations for Aug 2025.,paraphrase|geography|date|norm,Chandigarh,,2025-08,2025-08,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q047,paraphrase,P07,"For Nov 2025 in Delhi, total BS6 diesel motor cars registered.",paraphrase|geography|date|fuel|class|norm,Delhi,,2025-11,2025-11,NON_EV,DIESEL,,DIESEL,,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q048,paraphrase,P08,"At RTO MH 12, return Jan 2025 motor-car registrations.",paraphrase|geography|rto|date|class,Maharashtra,MH-12,2025-01,2025-01,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q049,paraphrase,P09,Show Maharashtra electric four-wheeler Bharat Stage VI registrations for Jan 2025.,paraphrase|geography|date|fuel|category|norm,Maharashtra,,2025-01,2025-01,EV,,,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q050,paraphrase,P10,"For Gujarat in Jun 2025, return CNG BS4 three-wheeler registrations.",paraphrase|geography|date|fuel|category|norm,Gujarat,,2025-06,2025-06,NON_EV,CNG,,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,BHARAT STAGE IV,BHARAT STAGE IV,,,,,,
