case_id,case_group,pair_id,lane,classification,provider_fallback,groq_call_attempted,http_status,families,query,expected_state,actual_state,expected_rto_contains,actual_rto,expected_from,actual_from,expected_to,actual_to,expected_fuel_segment,actual_fuel_segment,expected_fuel_type,actual_fuel_type,expected_selected_fuel_types,actual_selected_fuel_types,expected_vehicle_categories,actual_vehicle_categories,expected_vehicle_classes,actual_vehicle_classes,expected_norms,actual_norms,filter_mismatches,data_issues,warnings,data_status,summary_total,row_count
Q048,paraphrase,P08,groq,pass,false,true,200,paraphrase|geography|rto|date|class,"At RTO MH 12, return Jan 2025 motor-car registrations.",Maharashtra,Maharashtra,MH-12,PUNE - MH12( 25-JAN-2017 ),2025-01,2025-01,2025-01,2025-01,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,Resolved MH-12 to PUNE - MH12( 25-JAN-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q049,paraphrase,P09,groq,pass,false,true,200,paraphrase|geography|date|fuel|category|norm,Show Maharashtra electric four-wheeler Bharat Stage VI registrations for Jan 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,missing,0,0
Q050,paraphrase,P10,groq,filter_mismatch,false,true,200,paraphrase|geography|date|fuel|category|norm,"For Gujarat in Jun 2025, return CNG BS4 three-wheeler registrations.",Gujarat,Gujarat,,,2025-06,2025-06,2025-06,2025-06,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT),,,BHARAT STAGE IV,,"vehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER(NT)""]|selectedVehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER(NT)""]|norms:[""BHARAT STAGE IV""]=>[]|selectedNorms:[""BHARAT STAGE IV""]=>[]|paraphrase_pair:""identical filters""=>""differs in P10""",missing_months_not_reported:2025-06,"Could not resolve location ""BS-4"" from loaded data.",complete,0,0
Q001,coverage,P01,rules,pass,false,false,200,geography|date,Show vehicle registrations in Maharashtra for January 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,,,,,,,,,,,,,,,,complete,289729,22
Q002,coverage,,rules,pass,false,false,200,geography|date,Show registrations in Delhi from February 2025 to March 2025.,Delhi,Delhi,,,2025-02,2025-02,2025-03,2025-03,,,,,,,,,,,,,,,,complete,109850,34
Q003,coverage,P02,rules,pass,false,false,200,geography|date|fuel,Show diesel vehicle registrations in Karnataka during April 2024.,Karnataka,Karnataka,,,2024-04,2024-04,2024-04,2024-04,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,,,,missing,0,0
Q004,coverage,,rules,pass,false,false,200,geography|date|fuel,Show petrol vehicle registrations in Tamil Nadu during May 2024.,Tamil Nadu,Tamil Nadu,,,2024-05,2024-05,2024-05,2024-05,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,,,,,,,,,,missing,0,0
Q005,coverage,P03,rules,pass,false,false,200,geography|date|fuel,Show EV registrations in Uttar Pradesh during June 2024.,Uttar Pradesh,Uttar Pradesh,,,2024-06,2024-06,2024-06,2024-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,,,,missing,0,0
Q006,coverage,,rules,pass,false,false,200,geography|date|fuel,Show CNG registrations in Gujarat during July 2024.,Gujarat,Gujarat,,,2024-07,2024-07,2024-07,2024-07,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,,,,,,,,,,missing,0,0
Q007,coverage,,rules,pass,false,false,200,geography|date|fuel,Show electric BOV registrations in Rajasthan during August 2024.,Rajasthan,Rajasthan,,,2024-08,2024-08,2024-08,2024-08,EV,EV,ELECTRIC,ELECTRIC,ELECTRIC(BOV),ELECTRIC(BOV),,,,,,,,,,missing,0,0
Q008,coverage,,rules,pass,false,false,200,geography|date|fuel,Show pure EV registrations in West Bengal during September 2024.,West Bengal,West Bengal,,,2024-09,2024-09,2024-09,2024-09,EV,EV,PURE EV,PURE EV,PURE EV,PURE EV,,,,,,,,,,complete,1421,1
Q009,coverage,P04,rules,filter_mismatch,false,false,200,geography|date|category,Show two wheeler registrations in Bihar during October 2024.,Bihar,Bihar,,,2024-10,2024-10,2024-10,2024-10,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,"paraphrase_pair:""identical filters""=>""differs in P04""",,,missing,0,0
Q010,coverage,,rules,pass,false,false,200,geography|date|category,Show three wheeler registrations in Kerala during November 2024.,Kerala,Kerala,,,2024-11,2024-11,2024-11,2024-11,,,,,,,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,,,,,missing,0,0
Q011,coverage,,rules,pass,false,false,200,geography|date|category,Show four wheeler registrations in Telangana during December 2024.,Telangana,Telangana,,,2024-12,2024-12,2024-12,2024-12,,,,,,,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,,,,,,missing,0,0
Q012,coverage,,rules,pass,false,false,200,geography|date|category,Show LMV registrations in Madhya Pradesh during January 2025.,Madhya Pradesh,Madhya Pradesh,,,2025-01,2025-01,2025-01,2025-01,,,,,,,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,missing,0,0
Q013,coverage,,rules,pass,false,false,200,geography|date|category,Show HMV registrations in Odisha during February 2025.,Odisha,Odisha,,,2025-02,2025-02,2025-02,2025-02,,,,,,,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,missing,0,0
Q014,coverage,P05,rules,pass,false,false,200,geography|date|class,Show motor car registrations in Assam during March 2025.,Assam,Assam,,,2025-03,2025-03,2025-03,2025-03,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q015,coverage,,rules,pass,false,false,200,geography|date|class,Show bus registrations in Jharkhand during April 2025.,Jharkhand,Jharkhand,,,2025-04,2025-04,2025-04,2025-04,,,,,,,,,BUS,BUS,,,,,,missing,0,0
Q016,coverage,,rules,pass,false,false,200,geography|date|class,Show goods carrier registrations in Haryana during May 2025.,Haryana,Haryana,,,2025-05,2025-05,2025-05,2025-05,,,,,,,,,GOODS CARRIER,GOODS CARRIER,,,,,,missing,0,0
Q017,coverage,,rules,pass,false,false,200,geography|date|class,Show passenger e-rickshaw registrations in Punjab during June 2025.,Punjab,Punjab,,,2025-06,2025-06,2025-06,2025-06,,,,,,,,,E-RICKSHAW(P),E-RICKSHAW(P),,,,,,missing,0,0
Q018,coverage,,rules,pass,false,false,200,geography|date|class,Show scooter registrations in Andhra Pradesh during July 2025.,Andhra Pradesh,Andhra Pradesh,,,2025-07,2025-07,2025-07,2025-07,,,,,,,,,M-CYCLE/SCOOTER,M-CYCLE/SCOOTER,,,,,,missing,0,0
Q019,coverage,P06,rules,pass,false,false,200,geography|date|norm,Show BS VI vehicle registrations in Chandigarh during August 2025.,Chandigarh,Chandigarh,,,2025-08,2025-08,2025-08,2025-08,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,Semantic filter confidence is medium/low. Review the interpreted filters before using the result.,missing,0,0
Q020,coverage,,rules,pass,false,false,200,geography|date|norm,Show BS IV vehicle registrations in Goa during September 2025.,Goa,Goa,,,2025-09,2025-09,2025-09,2025-09,,,,,,,,,,,BHARAT STAGE IV,BHARAT STAGE IV,,,Semantic filter confidence is medium/low. Review the interpreted filters before using the result.,missing,0,0
Q021,coverage,,rules,pass,false,false,200,geography|date|class|norm,Show BS III motor car registrations in Maharashtra during October 2025.,Maharashtra,Maharashtra,,,2025-10,2025-10,2025-10,2025-10,,,,,,,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE III,BHARAT STAGE III,,,,missing,0,0
Q022,coverage,P07,rules,filter_mismatch,false,false,200,geography|date|fuel|class|norm,Show BS VI diesel motor car registrations in Delhi during November 2025.,Delhi,Delhi,,,2025-11,2025-11,2025-11,2025-11,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,BHARAT STAGE VI,"paraphrase_pair:""identical filters""=>""differs in P07""",paraphrase_pair_result_mismatch:P07,,complete,866,1
Q023,coverage,,rules,pass,false,false,200,geography|date|fuel|category|norm,Show BS VI EV two wheeler registrations in Karnataka during December 2025.,Karnataka,Karnataka,,,2025-12,2025-12,2025-12,2025-12,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,BHARAT STAGE VI,BHARAT STAGE VI,,,,missing,0,0
Q024,coverage,,rules,pass,false,false,200,geography|date|fuel|class,Show petrol bus registrations in Tamil Nadu during January 2025.,Tamil Nadu,Tamil Nadu,,,2025-01,2025-01,2025-01,2025-01,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,,,BUS,BUS,,,,,,missing,0,0
